Responden,Jumlah_Produksi,Luas_Lahan,Jumlah_Pohon,Pupuk_Kandang,Pupuk_Phonska,Pestisida,Tenaga_Kerja
1,200,900,20,50,10,600,27
2,500,500,50,250,25,1600,21
3,500,500,50,250,25,1600,33
4,900,900,60,450,45,3600,40
5,900,900,60,450,45,3600,50
6,300,510,30,150,15,1200,30
7,300,800,30,150,15,1200,27
8,500,1350,50,250,25,1600,48
9,750,2800,80,400,40,2000,48
10,400,900,40,200,20,1200,35
11,650,1750,70,350,35,2400,43
12,250,2500,25,100,10,800,24
13,200,600,20,100,10,400,23
14,300,300,30,150,15,1200,21
15,200,470,20,100,10,600,18
16,400,1250,40,200,20,1200,23
17,200,800,20,100,10,600,16
18,200,580,20,100,10,600,16
19,150,250,25,75,8,400,12
20,250,680,25,125,13,800,12
21,200,800,20,100,10,600,18
22,200,400,20,100,10,600,15
23,350,300,30,150,15,1200,19
24,300,300,30,150,15,1200,18
25,300,300,30,150,15,1200,19
26,600,600,50,300,30,2400,40
27,600,600,60,300,30,2400,33
28,400,400,40,200,20,1200,36
29,500,500,50,250,25,1600,40
30,400,400,40,200,20,1600,21
31,200,800,20,50,13,700,25
32,500,500,50,250,25,1600,33
33,900,800,60,450,45,3600,40
34,900,900,60,400,50,3500,50
35,300,500,30,150,15,1200,30
36,550,600,60,250,25,1500,24
37,300,800,30,150,15,1200,27
38,500,1350,50,250,25,1600,48
39,650,2800,60,400,40,2000,48
40,400,900,40,200,20,1200,35
41,200,2500,20,100,10,800,35
42,700,1750,60,350,35,2400,43
43,200,600,20,100,10,400,23
44,300,300,30,150,15,1200,21
45,200,470,20,100,10,600,18
46,400,1250,40,200,20,1200,23
47,200,800,20,100,10,600,16
48,200,800,20,100,10,600,16
49,150,580,20,80,8,400,12
50,250,680,25,125,13,800,12
51,200,500,20,100,10,600,18
52,200,400,20,100,10,600,15
53,300,500,30,150,15,1200,19
54,350,300,30,150,15,1200,18
55,300,300,30,150,15,1200,19
56,600,600,60,300,30,2400,40
57,400,400,40,200,20,1200,36
58,600,600,60,300,30,2400,33
59,500,500,50,250,25,1600,40
60,900,800,60,400,100,1200,35
